Variable,variance,mean
pelvis XPOS,0.000440,0.047968
pelvis YPOS,0.000245,0.019895
pelvis ZPOS,0.000023,0.700820
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,16.461250,1.386542
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,5.878620,-8.090841
spine YROT,2.136582,2.356117
spine ZROT,0.024807,0.307143
spine.001 XROT,0.000481,9.977558
spine.001 YROT,0.063043,0.502037
spine.001 ZROT,4.218022,4.095375
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.030935
neck ZPOS,0.000000,0.251946
neck XROT,113.859268,8.535367
neck YROT,4.662768,-2.076589
neck ZROT,167.498169,6.385516
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003373
face ZPOS,0.000000,0.193254
face XROT,17.860275,2.689014
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.030935
shoulder.L ZPOS,0.000000,0.251946
shoulder.L XROT,1.200440,-1.476056
shoulder.L YROT,0.000025,0.003620
shoulder.L ZROT,0.018069,0.181167
upper_arm.L XPOS,0.000000,0.153480
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,82.610458,56.324486
upper_arm.L YROT,132.960083,64.890053
upper_arm.L ZROT,253.030746,-80.687813
forearm.L XPOS,0.000000,0.244461
forearm.L YPOS,0.000000,0.000110
forearm.L ZPOS,0.000000,0.000915
forearm.L XROT,838.354187,38.061199
forearm.L YROT,135.798431,40.629894
forearm.L ZROT,1351.387817,-69.795807
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.030935
shoulder.R ZPOS,0.000000,0.251946
shoulder.R XROT,1.200442,-1.422832
shoulder.R YROT,0.000024,0.003455
shoulder.R ZROT,0.018070,0.174641
upper_arm.R XPOS,0.000000,-0.153480
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,-0.000000
upper_arm.R XROT,68.609863,41.168312
upper_arm.R YROT,83.682693,-64.660278
upper_arm.R ZROT,290.878937,62.214077
forearm.R XPOS,0.000000,-0.246364
forearm.R YPOS,0.000000,0.000110
forearm.R ZPOS,0.000000,0.000915
forearm.R XROT,1289.635620,49.180271
forearm.R YROT,99.894630,-46.991714
forearm.R ZROT,1726.491577,76.952911
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,1.573276,2.057899
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,1.573278,2.057899
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.102684
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000005,-0.003690
thigh.L XROT,2.349025,0.497915
thigh.L YROT,3.498299,6.901762
thigh.L ZROT,0.001488,-0.014339
shin.L XPOS,0.000000,0.017753
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.338753
shin.L XROT,2.182525,5.678881
shin.L YROT,1.551332,1.917175
shin.L ZROT,0.004614,0.196346
foot.L XROT,2.528924,-3.131528
foot.L YROT,2.769253,-8.345093
foot.L ZROT,13.172918,17.372890
heel.02.L XROT,1.232821,-1.205792
heel.02.L YROT,4.920277,-22.471996
heel.02.L ZROT,4.195282,-11.135720
thigh.R XPOS,0.000000,-0.102684
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000005,0.003690
thigh.R XROT,2.395706,-0.489523
thigh.R YROT,3.976082,1.971947
thigh.R ZROT,0.014630,0.031206
shin.R XPOS,0.000000,-0.017866
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.340896
shin.R XROT,1.926595,10.116502
shin.R YROT,2.131991,-2.385062
shin.R ZROT,0.023745,-0.329814
foot.R XROT,3.992974,-12.571189
foot.R YROT,2.969288,6.474326
foot.R ZROT,9.842546,-9.211308
heel.02.R XROT,1.411871,-5.068064
heel.02.R YROT,3.198507,26.825617
heel.02.R ZROT,4.110976,13.409969
