joint,x,y,drawX,drawY
pelvis,1867,1081,1998,950
spine,1861,1072,1563,886
spine.001,1867,765,2021,708
neck,1867,441,1554,583
face,1873,194,1965,57
shoulder.L,2057,442,2149,291
upper_arm.L,2387,437,2532,549
forearm.L,2692,438,2855,267
shoulder.R,1678,434,1501,261
upper_arm.R,1358,442,1145,582
forearm.R,1059,441,781,254
pelvis.L,2018,1079,2425,1078
pelvis.R,1749,1079,1349,1075
thigh.L,2023,1508,2449,1495
shin.L,2041,1884,2530,1850
foot.L,2053,1983,1953,2086
heel.02.L,2147,1974,2570,2044
thigh.R,1728,1499,1289,1502
shin.R,1700,1880,1266,1856
foot.R,1689,1976,1685,2090
heel.02.R,1609,1977,1231,2018
